TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612748,Miami Heat,42,22,20,0.524,150.413333,93,256,0.363,33,108,0.306,79,98,0.806,38,85,123,44,32.0,21,10,18,79,69,298,-38.0,4,8,17,11,10,25,9,28,10,6,18,17,19,14,12,16,14,24,8,9,29,15,15,22,23,25,2023-24
1610612749,Milwaukee Bucks,40,23,17,0.575,147.175,116,263,0.441,43,129,0.333,119,147,0.81,33,93,126,72,35.0,20,16,18,75,101,394,55.0,9,6,10,9,12,9,7,17,3,2,12,3,3,12,15,10,12,3,17,13,14,15,13,3,3,5,2023-24
1610612750,Minnesota Timberwolves,36,21,15,0.583,146.356667,96,225,0.427,34,108,0.315,81,113,0.717,27,93,120,57,41.0,10,15,10,81,84,307,-34.0,18,10,7,8,13,19,18,21,8,6,17,16,10,26,26,10,18,18,23,28,17,1,19,8,21,23,2023-24
1610612740,New Orleans Pelicans,29,14,15,0.483,94.026667,72,156,0.462,11,40,0.275,48,69,0.696,21,54,75,43,32.0,9,13,13,54,52,203,-14.0,30,27,7,19,30,29,30,8,30,30,24,28,28,29,30,30,30,27,8,29,20,11,3,28,29,19,2023-24
1610612752,New York Knicks,33,17,16,0.515,110.393333,95,216,0.44,23,87,0.264,72,103,0.699,46,70,116,44,21.0,21,14,10,52,71,285,52.0,25,19,9,12,28,20,22,18,25,20,26,23,17,28,3,29,21,24,2,9,19,1,1,18,24,6,2023-24
1610612760,Oklahoma City Thunder,38,24,14,0.632,130.646667,117,223,0.525,30,83,0.361,90,108,0.833,29,83,112,60,33.0,20,17,12,63,71,354,44.0,14,3,4,5,20,8,21,2,14,22,5,9,15,8,24,19,23,13,13,13,10,9,7,18,9,7,2023-24
1610612753,Orlando Magic,35,21,14,0.6,132.721667,89,229,0.389,20,89,0.225,78,102,0.765,48,84,132,46,35.0,19,17,10,75,72,276,15.0,21,10,4,7,18,26,17,26,27,19,29,18,18,21,2,18,9,23,17,15,10,1,13,17,26,11,2023-24
1610612755,Philadelphia 76ers,36,18,18,0.5,133.485,105,235,0.447,30,80,0.375,94,111,0.847,33,85,118,60,31.0,25,17,28,83,71,334,0.0,18,17,13,14,17,13,14,14,14,24,3,7,12,5,15,16,20,13,7,3,10,29,21,18,13,15,2023-24
1610612756,Phoenix Suns,41,20,21,0.488,145.333333,98,241,0.407,29,101,0.287,83,98,0.847,28,93,121,60,32.0,25,30,10,80,78,308,-13.0,7,14,21,16,14,18,12,23,17,11,22,15,19,4,25,10,17,13,8,3,2,1,16,9,20,18,2023-24
1610612757,Portland Trail Blazers,37,17,20,0.459,152.575,118,258,0.457,24,75,0.32,77,96,0.802,46,103,149,65,59.0,19,17,22,82,74,337,8.0,15,19,17,21,8,6,8,9,23,27,15,20,21,17,3,6,5,9,30,15,10,26,20,16,11,13,2023-24
